name,rel_date,genres,rating,movie_rated,run_length
The Dark Knight,2008-07-18,Action; Crime; Drama; ,9.0,PG-13,2h 32min
Inception,2010-07-16,Action; Adventure; Sci-Fi; ,8.8,PG-13,2h 28min
The Matrix,1999-03-31,Action; Sci-Fi; ,8.7,R,2h 16min
The Lord of the Rings: The Fellowship of the Ring,2001-12-19,Action; Adventure; Drama; ,8.8,PG-13,2h 58min
The Dark Knight Rises,2012-07-20,Action; Adventure; ,8.4,PG-13,2h 44min
Gladiator,2000-05-05,Action; Adventure; Drama; ,8.5,R,2h 35min
Batman Begins,2005-06-15,Action; Adventure; ,8.2,PG-13,2h 20min
The Avengers,2012-05-04,Action; Adventure; Sci-Fi; ,8.0,PG-13,2h 23min
Star Wars: Episode IV - A New Hope,1977-05-25,Action; Adventure; Fantasy; ,8.6,PG,2h 1min
Star Wars: Episode V - The Empire Strikes Back,1980-06-20,Action; Adventure; Fantasy; ,8.7,PG,2h 4min
Avatar,2009-12-18,Action; Adventure; Fantasy; ,7.8,PG-13,2h 42min
Guardians of the Galaxy,2014-08-01,Action; Adventure; Comedy; ,8.0,PG-13,2h 1min
V for Vendetta,2006-03-17,Action; Drama; Sci-Fi; ,8.2,R,2h 12min
Léon: The Professional,1994-11-18,Action; Crime; Drama; ,8.5,R,1h 50min
Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,Action; Adventure; Fantasy; ,8.0,PG-13,2h 23min
Kill Bill: Vol. 1,2003-10-10,Action; Crime; Thriller; ,8.1,R,1h 51min
Terminator 2: Judgment Day,1991-07-03,Action; Sci-Fi; ,8.5,R,2h 17min
Star Wars: Episode VI - Return of the Jedi,1983-05-25,Action; Adventure; Fantasy; ,8.3,PG,2h 11min
Iron Man,2008-05-02,Action; Adventure; Sci-Fi; ,7.9,PG-13,2h 6min
Deadpool,2016-02-12,Action; Adventure; Comedy; ,8.0,R,1h 48min
Raiders of the Lost Ark,1981-06-12,Action; Adventure; ,8.4,PG,1h 55min
Mad Max: Fury Road,2015-05-15,Action; Adventure; Sci-Fi; ,8.1,R,2h
Star Wars: Episode VII - The Force Awakens,2015-12-18,Action; Adventure; Sci-Fi; ,7.9,PG-13,2h 18min
Jurassic Park,1993-06-11,Action; Adventure; Sci-Fi; ,8.1,PG-13,2h 7min
The Hunger Games,2012-03-23,Action; Adventure; Sci-Fi; ,7.2,PG-13,2h 22min
Avengers: Infinity War,2018-04-27,Action; Adventure; Sci-Fi; ,8.4,PG-13,2h 29min
The Terminator,1984-10-26,Action; Sci-Fi; ,8.0,R,1h 47min
Die Hard,1988-07-20,Action; Thriller; ,8.2,R,2h 12min
Avengers: Endgame,2019-04-26,Action; Adventure; Drama; ,8.4,PG-13,3h 1min
Iron Man 3,2013-05-03,Action; Adventure; Sci-Fi; ,7.2,PG-13,2h 10min
Thor,2011-05-06,Action; Adventure; Fantasy; ,7.0,PG-13,1h 55min
300,2007-03-09,Action; Drama; ,7.6,R,1h 57min
Captain America: The First Avenger,2011-07-22,Action; Adventure; Sci-Fi; ,6.9,PG-13,2h 4min
Avengers: Age of Ultron,2015-05-01,Action; Adventure; Sci-Fi; ,7.3,PG-13,2h 21min
